ajivaka	Ājīvaka	tà mạng ngoại đạo	rongmotamhon.net	TERM
ramaputta	Rāmaputta	La-ma-phù-tử	vi.wikipedia.org	
sati	Sāti	Sa-đề	phapthihoi.org	
sujata	Sujāta	Tu-sa-đà	vomonthientu.org	
vasava	Vāsava	Bà-sa-bà	phatgiao.org.vn	
belattha	Belaṭṭha	Bê-la-tha	wikidhamma.com	
serisaka	Serīsaka	Serissaka	vncphvn.com	
vedehika	Vedehikā	Vi-đề-hi-ca	dieungu.org	
paricchattaka	Pāricchattaka	cây san hô	vlotus.net	TERM
pukkusati	Pukkusāti	Phú-khâu-sa-đề	khemarama.net	
sala	Sāla	Sa-la	daophatngaynay.com	
dukkhasuttam	Dukkhasuttaṃ	Khổ	loicuaducphat.org	TERM
mahakaccana	Mahākaccāna	Đại Ca-chiên-diên	phatgiao.org.vn	
keniya	Keṇiya	Kê-ni-dạ	suttacentral.now	
narada	Nārada	Na-la-đà	kinhphapcu.vn	
kalandakanivapa	Kalandakanivāpa	Ca-lan-đà	vi.wikipedia.org	
kevatta	Kevaṭṭa	Kê-vát-đạt	nguoiphattu.com	
kundaliya	Kuṇḍaliya	Côn-đà-li-dạ	dhammatalks.net	
culapanthaka	Cūḷapanthaka	Chu-lợi Bàn-đặc	vi.wikipedia.org	
okkaka	Okkāka	Cam Giá	tuvienquangduc.com.au	
kasibharadvaja	Kasibhāradvāja	Ca-tỳ Bà-la-độ-xà	daophatgoc.com	
anandasuttam	Ānandasuttaṃ	Kinh A-nan	loicuaducphat.org	TERM
piyadassi	Piyadassī	Hỉ Kiến	vi.wikipedia.org	
samanamundika	Samaṇamuṇḍikā	Samanamandikà	dhammatalks.net	
moliyaphagguna	Moḷiyaphagguna	Mâu-lê-phá-quần-na	dhammatalks.net	
radha	Rādha	La-đà	thuvienhoasen.org	
alara	Āḷāra	A-la-la	vi.wikipedia.org	
mahakotthika	Mahākoṭṭhika	Ma-ha-câu-hi-la	phatgiao.org.vn	
gosinga	Gosiṅga	Câu-tân-nga	gosinga.vn	
mahapajapati	Mahāpajāpatī	Ma-ha-bà-xà-ba-đề	vi.wikipedia.org	
gavesi	Gavesī	Ca-vê-tây	thienvipassana.net	
mahakappina	Mahākappina	Kiếp-tân-na	phatgiao.org.vn	
punnaka	Puṇṇaka	Phuẩn-na-ca	tamtangpaliviet.net	
gaya	Gayā	Già-da	quangduc.com	
sanavasi	Sāṇavāsī	Thương-na-hòa-tu	vi.wikipedia.org	
girimananda	Girimānanda	Kỳ-lợi-ma-nan	tangdoanhaingoai.org	
karayana	Kārāyana	Ca-la-da-na	dieungu.org	
pathamasikkhapadam	Paṭhamasikkhāpadaṃ	điều học thứ nhất	dieungu.org	TERM
sona	Soṇa	Tô-na	phatgiao.org.vn	
gotami	Gotamī	Cù-đàm-di	phatgiao.org.vn	
sanankumara	Sanaṅkumāra	Thường Đồng Tử	suttacentral.net	
nandamata	Nandamātā	Nan-đa-mẫu	budsas.org	
malukyaputta	Mālukyaputta	Ma-luân-khê	budsas.org	
anuradha	Anurādha	A-nu-luật-đà	nikaya.tamhoc.org	
kapilani	Kāpilānī	Ca-tỳ-la-ni	budsas.org	
migajala	Migajāla	Di-già-la	loicuaducphat.org	
ajapala	Ajapāla	A-xà-bạt-la	tuvienquangduc.com.au	
pavittha	Paviṭṭha	Ba-vi-tha	budsas.org	
parayana	Pārāyana	Ba-la-diên	phatphapungdung.com	TERM
mangala	Maṅgala	Mạnh-già-la	budsas.org	TERM
belatthaputta	Belaṭṭhaputta	Bê-la-tha	thuvien.vnthuquan.net	
bavari	Bāvarī	Ba-và-ri	tamtangpaliviet.net	
pingiya	Piṅgiya	Tân-kỳ-dà	budsas.org	
satagira	Sātāgira	Sa-tà-ghi-ra	dieungu.org	
dutiyasikkhapadam	Dutiyasikkhāpadaṃ	Điều học thứ hai	wikidhamma.com	TERM
manatthaddha	Mānatthaddha	Ma-na-tha-đa	loicuaducphat.org	
ganga	Gaṅgā	Hằng	daophatgoc.com	
kokalika	Kokālika	Ca-lê-ca	dieungu.org	
pathikaputta	Pāthikaputta	Ba-lê tử	suttacentral.now	
migaramata	Migāramātā	Lộc Mẫu	buddhismtoday.com	
niganthaputta	Nigaṇṭhaputta	Ni-kiền-tử	vi.wikipedia.org	
malunkyaputta	Māluṅkyaputta	Ma-lân-khê	thuvienhoasen.org	
kali	Kāḷī	Ca-lê	dhammatalks.net	
digha	Dīgha	Trường Bộ	phatphapungdung.com	TERM
aggalava	Aggāḷava	A-ca-la-viên	vlotus.net	
sarandada	Sārandada	Sa-lan-đa-đa	hvdic.thaiphong.net	
sujata	Sujātā	Tô-già-đà	phatgiao.org.vn	
sirima	Sirimā	Thi-lợi-ma	daitangkinhvietnam.org	
varuna	Varuṇa	Ba-lâu-na	wisdomlib.org	
daruciriya	Dārucīriya	Đầu-mộc	quangduc.com	
catumaharajika	Cātumahārājika	Tứ Thiên Vương	vi.wikipedia.org	TERM
siha	Sīha	Sĩ-ha	phatgiao.org.vn	
migara	Migāra	Di-già-la	tapchinghiencuuphathoc.vn	
uppalavanna	Uppalavaṇṇā	Liên Hoa Sắc	phatgiao.org.vn	
kana	Kāṇā	Ca-na	niemphat.vn	
opasada	Opāsāda	Ô-ba-sa-đa	budsas.org	
susima	Susīma	Tu-si-ma	budsas.net	
kutikanna	Kuṭikaṇṇa	Ku-ti-canh-na	budsas.org	
anomadassi	Anomadassī	A-nô-ma-đát-tây	khemarama.net	
catutthasikkhapadam	Catutthasikkhāpadaṃ	học giới thứ tư	dhammaviet.blogspot.com	TERM
bharandu	Bharaṇḍu	Ba-lan-đỗ	nikaya.tamhoc.org	
kalama	Kālāma	Ca-lâm	tuvienquangduc.com.au	
bahiya	Bāhiya	Bà-hi	chuadieuphap.us	
pava	Pāvā	Ba-vã	en.wikipedia.org	
dona	Doṇa	Đô-na	suttacentral.net	
macchikasanda	Macchikāsaṇḍa	Mạc-chi-ca-san-đa	phatgiao.org.vn	
kumarakassapa	Kumārakassapa	Câu-ma-la-ca-diếp	nikaya.tamhoc.org	
nagasamala	Nāgasamāla	Na-da-sa-ma-la	nikaya.tamhoc.org	
komudi	Komudī	Cô-mu-đi	dieungu.org	
ambapali	Ambapāli	Am-bà-bà-ly	vi.wikipedia.org	
atthadassi	Atthadassī	A-tha-đát-ti	thichthonglac.com	
pancamasikkhapadam	Pañcamasikkhāpadaṃ	điều học thứ năm	thuvienphatgiao.com	TERM
atthakanagara	Aṭṭhakanāgara	Bát Thành	nikaya.tamhoc.org	TERM
kathina	Kaṭhina	ca-tư-na	daitangkinh.truyenphatgiao.com	TERM
kotthika	Koṭṭhika	Câu-hi-la	thichthonglac.com	
matali	Mātali	Ma-đá-lợi	phatgiao.org.vn	
nalanda	Nāḷandā	Na-lan-đà	vi.wikipedia.org	
rahu	Rāhu	La-hầu	vi.wikipedia.org	
nakulamata	Nakulamātā	Na-ku-la-mẫu	budsas.org	
atthaka	Aṭṭhaka	Át-tha-ca	phatphapdhamma.brinkster.net	
nigrodharama	Nigrodhārāma	Ni-câu-luật viên	trungtamhotong.org	
kolivisa	Koḷivisa	Cổ-li-vi-sa	panha.vn	
ambalatthika	Ambalaṭṭhikā	Ambala	budsas.org	
mahaviyuha	Mahāviyūha	Ma-ha-vi-yu-ha	hoangphap.info	TERM
himava	Himavā	Hi-mã-lạp	niemphat.vn	
chatthasikkhapadam	Chaṭṭhasikkhāpadaṃ	điều học thứ sáu	thichthonglac.com	TERM
mahakassapa	Mahākassapa	Ma-ha-ca-diếp	vi.wikipedia.org	
rama	Rāma	La-ma	nikaya.tamhoc.org	
sundarinanda	Sundarīnandā	Tôn-đà-lợi Nan-đà	vi.wikipedia.org	
mahagovinda	Mahāgovinda	Đại Điển Tôn	thuvienhoasen.org	
pindolabharadvaja	Piṇḍolabhāradvāja	Tân-đầu-lô-phả-la-đọa	vi.wikipedia.org	
kaka	Kāka	Ca-ca	dieungu.org	
dutiyasamanabrahmanasuttam	Dutiyasamaṇabrāhmaṇasuttaṃ	Sa-môn, Bà-la-môn (2)	dhammatalks.net	TERM
maghava	Maghavā	Ma-kha-phu	daophatgoc.com	
sattamasikkhapadam	Sattamasikkhāpadaṃ	điều học thứ bảy	thuvienphatgiao.com	TERM
vitatubha	Viṭaṭūbha	Tỳ-lưu-ly	giacngo.vn	
bhaddali	Bhaddāli	Ba-đa-li	GEN	
komarabhacca	Komārabhacca	Cô-ma-la-ba-xa	GEN	
kitagiri	Kīṭāgiri	Ci-tha-gi-li	GEN	
ratthapala	Raṭṭhapāla	La-tha-ba-la	GEN	
magandiya	Māgaṇḍiya	Ma-gan-đi-da	GEN	
salha	Sāḷha	Sa-ha	GEN	
alavi	Āḷavī	A-la-bi	GEN	
osadhi	Osadhī	Ô-sa-đi	GEN	
mallika	Mallikā	Ma-li-ca	GEN	
brahmayu	Brahmāyu	Ba-ma-du	GEN	
dhananjani	Dhanañjāni	Đa-nanh-xa-ni	GEN	
ghatikara	Ghaṭikāra	Gha-thi-ca-la	GEN	
assalayana	Assalāyana	A-sa-la-da-na	GEN	
icchanangala	Icchānaṅgala	Ic-ha-nang-ga-la	GEN	
mahali	Mahāli	Ma-ha-li	GEN	
mettiyabhumajaka	Mettiyabhūmajaka	Mê-đi-da-bu-ma-xa-ca	GEN	
mendaka	Meṇḍaka	Mên-đa-ca	GEN	
sangarava	Saṅgārava	Sang-ga-la-ba	GEN	
pataligama	Pāṭaligāma	Ba-tha-li-ga-ma	GEN	
angulimala	Aṅgulimāla	Ang-gu-li-ma-la	GEN	
vaddha	Vaḍḍha	Bat-ha	GEN	
suppavasa	Suppavāsā	Su-ba-ba-sa	GEN	
nagita	Nāgita	Na-gi-đa	GEN	
panduka	Paṇḍuka	Ban-đu-ca	GEN	
mahi	Mahī	Ma-hi	GEN	
sarabhu	Sarabhū	Sa-la-bu	GEN	
pataliputta	Pāṭaliputta	Ba-tha-li-bu-đa	GEN	
kakandakaputta	Kākaṇḍakaputta	Ca-can-đa-ca-bu-đa	GEN	
munda	Muṇḍa	Mun-đa	GEN	
sakuludayi	Sakuludāyī	Sa-cu-lu-đa-di	GEN	
hatthalavaka	Hatthāḷavaka	Hat-ha-la-ba-ca	GEN	
sanjikaputta	Sañjikāputta	Sanh-xi-ca-bu-đa	GEN	
suppiya	Suppiyā	Su-bi-da	GEN	
capala	Cāpāla	Xa-ba-la	GEN	
kalyanabhattika	Kalyāṇabhattika	Ca-da-na-ba-đi-ca	GEN	
alavaka	Āḷavaka	A-la-ba-ca	GEN	
apana	Āpaṇa	A-ba-na	GEN	
mahavijita	Mahāvijita	Ma-ha-bi-xi-đa	GEN	
veranja	Verañja	Bê-lanh-xa	GEN	
dusi	Dūsī	Đu-si	GEN	
ankura	Aṅkura	Ang-cu-la	GEN	
ghositarama	Ghositārāma	Ghô-si-đa-la-ma	GEN	
bhesakala	Bhesakaḷā	Bê-sa-ca-la	GEN	
nakulapita	Nakulapitā	Na-cu-la-bi-đa	GEN	
kanha	Kaṇha	Can-ha	GEN	
paveyyaka	Pāveyyaka	Ba-bê-da-ca	GEN	
magha	Māgha	Ma-gha	GEN	
vaggumuda	Vaggumudā	Ba-gu-mu-đa	GEN	
kotigama	Koṭigāma	Cô-thi-ga-ma	GEN	
mettiya	Mettiyā	Mê-đi-da	GEN	
pingiyani	Piṅgiyānī	Bing-gi-da-ni	GEN	
suciloma	Sūciloma	Su-xi-lô-ma	GEN	
sundarikabharadvaja	Sundarikabhāradvāja	Sun-đa-li-ca-ba-lat-ba-xa	GEN	
sirivaddha	Sirivaḍḍha	Si-li-bat-ha	GEN	
hatthisariputta	Hatthisāriputta	Hat-hi-sa-li-bu-đa	GEN	
nalagiri	Nāḷāgiri	Na-la-gi-li	GEN	
sabbakami	Sabbakāmī	Sa-ba-ca-mi	GEN	
veranja	Verañjā	Bê-lanh-xa	GEN	
lakkhana	Lakkhaṇa	Lac-ha-na	GEN	
vajjiyamahita	Vajjiyamāhita	Ba-xi-da-ma-hi-đa	GEN	
manasakata	Manasākata	Ma-na-sa-ca-đa	GEN	
upavala	Upavāḷa	U-ba-ba-la	GEN	
migasala	Migasālā	Mi-ga-sa-la	GEN	
vangantaputta	Vaṅgantaputta	Bang-gan-đa-bu-đa	GEN	
natika	Nātika	Na-đi-ca	GEN	
manikantha	Maṇikaṇṭha	Ma-ni-can-tha	GEN	
madhura	Madhurā	Ma-đu-la	GEN	
punniya	Puṇṇiya	Bu-ni-da	GEN	
revati	Revatī	Lê-ba-đi	GEN	
palileyyaka	Pālileyyaka	Ba-li-lê-da-ca	GEN	
pavarika	Pāvārika	Ba-ba-li-ca	GEN	
natika	Ñātika	Nha-đi-ca	GEN	
subrahma	Subrahmā	Sup-la-ma	GEN	
vasabha	Vāsabha	Ba-sa-ba	GEN	
kamabhu	Kāmabhū	Ca-ma-bu	GEN	
susumaragira	Susumāragira	Su-su-ma-la-gi-la	GEN	
dhammadassi	Dhammadassī	Đa-ma-đa-si	GEN	
kiki	Kikī	Ci-ci	GEN	
jaliya	Jāliya	Xa-li-da	GEN	
sambhuta	Sambhūta	Sam-bu-đa	GEN	
sivaka	Sīvaka	Si-ba-ca	GEN	
unnabha	Uṇṇābha	U-na-ba	GEN	
dhananjani	Dhanañjānī	Đa-nanh-xa-ni	GEN	
suvira	Suvīra	Su-bi-la	GEN	
uggahamana	Uggāhamāna	U-ga-ha-ma-na	GEN	
ghotamukha	Ghoṭamukha	Ghô-tha-mu-kha	GEN	
upasiva	Upasīva	U-ba-si-ba	GEN	
gayasisa	Gayāsīsa	Ga-da-si-sa	GEN	
paharada	Pahārāda	Ba-ha-la-đa	GEN	
sukka	Sukkā	Su-ca	GEN	
sumagadha	Sumāgadhā	Su-ma-ga-đa	GEN	
ambataka	Ambāṭaka	Am-ba-tha-ca	GEN	
tatiyasikkhapadam	Tatiyasikkhāpadaṃ	Đa-đi-da-sic-ha-ba-đam	GEN	
migalandika	Migalaṇḍika	Mi-ga-lan-đi-ca	GEN	
pataliya	Pāṭaliya	Ba-tha-li-da	GEN	
tayana	Tāyana	Đa-da-na	GEN	
catuma	Cātuma	Xa-đu-ma	GEN	
vegalinga	Vegaḷiṅga	Bê-ga-ling-ga	GEN	
aggika	Aggika	A-gi-ca	GEN	
alavika	Āḷavikā	A-la-bi-ca	GEN	
andhakavinda	Andhakavinda	An-đa-ca-bin-đa	GEN	
araka	Araka	A-la-ca	GEN	
arunavati	Aruṇavatī	A-lu-na-ba-đi	GEN	
asibandhakaputta	Asibandhakaputta	A-si-ban-đa-ca-bu-đa	GEN	
assaji	Assaji	A-sa-xi	GEN	
assapura	ASSAPURA	A-sa-bu-la	GEN	
asurindaka	Asurindaka	A-su-lin-đa-ca	GEN	
baka	Baka	Ba-ca	GEN	
balakalonaka	Bālakaloṇaka	Ba-la-ca-lô-na-ca	GEN	
bhaddaji	Bhaddaji	Ba-đa-xi	GEN	
bilangika	Bilaṅgika	Bi-lang-gi-ca	GEN	
bojjha	Bojjhā	Bôc-ha	GEN	
brahmadeva	Brahmadeva	Ba-ma-đê-ba	GEN	
cala	Cālā	Xa-la	GEN	
candana	Candana	Xan-đa-na	GEN	
candima	Candimā	Xan-đi-ma	GEN	
candimasa	Candimasa	Xan-đi-ma-sa	GEN	
cela	Celā	Xê-la	GEN	
cira	Cīrā	Xi-la	GEN	
damali	Dāmali	Đa-ma-li	GEN	
devahita	Devahita	Đê-ba-hi-đa	GEN	
dhammadinna	Dhammadinna	Đa-ma-đi-na	GEN	
dighajanu	Dīghajāṇu	Đi-gha-xa-nu	GEN	
dighalatthi	Dīghalaṭṭhi	Đi-gha-la-thi	GEN	
godha	Godha	Gô-đa	GEN	
godhika	Godhika	Gô-đi-ca	GEN	
gotamaka	Gotamaka	Gô-đa-ma-ca	GEN	
haliddikani	Hāliddikāni	Ha-li-đi-ca-ni	GEN	
hatthaka	Hatthaka	Hat-ha-ca	GEN	
indaka	Indaka	In-đa-ca	GEN	
jantu	Jantu	Xan-đu	GEN	
kaccanagotta	Kaccānagotta	Ca-xa-na-gô-đa	GEN	
kakudha	Kakudha	Ca-cu-đa	GEN	
kalaka	Kāḷaka	Ca-la-ca	GEN	
kaligodha	Kāḷigodhā	Ca-li-gô-đa	GEN	
kamada	Kāmada	Ca-ma-đa	GEN	
kamboja	Kamboja	Cam-bô-xa	GEN	
kandaki	Kaṇḍakī	Can-đa-ci	GEN	
kandaraka	KANDARAKA	Can-đa-la-ca	GEN	
kankheyya	Kaṅkheyya	Cang-khê-da	GEN	
karanapali	Kāraṇapālī	Ca-la-na-ba-li	GEN	
kesamutti	Kesamutti	Cê-sa-mu-đi	GEN	
kesi	Kesi	Cê-si	GEN	
khemaka	Khemaka	Khê-ma-ca	GEN	
khomadussa	Khomadussa	Khô-ma-đu-sa	GEN	
kimila	Kimila	Ci-mi-la	GEN	
kimsuka	Kiṃsuka	Cim-su-ca	GEN	
kokanuda	Kokanuda	Cô-ca-nu-đa	GEN	
kolita	Kolita	Cô-li-đa	GEN	
kusa	Kusa	Cu-sa	GEN	
kutuhalasala	Kutūhalasālā	Cu-đu-ha-la-sa-la	GEN	
maghadeva	MAGHADEVA	Ma-gha-đê-ba	GEN	
manadinna	Mānadinna	Ma-na-đi-na	GEN	
manibhadda	Maṇibhadda	Ma-ni-ba-đa	GEN	
maniculaka	Maṇicūḷaka	Ma-ni-xu-la-ca	GEN	
nagadatta	Nāgadatta	Na-ga-đa-đa	GEN	
nagaravindeyya	NAGARAVINDEYYA	Na-ga-la-bin-đê-da	GEN	
nakula	Nakula	Na-cu-la	GEN	
nandivisala	Nandivisāla	Nan-đi-bi-sa-la	GEN	
natumha	Natumhā	Na-đum-ha	GEN	
pancalacanda	Pañcālacaṇḍa	Banh-xa-la-xan-đa	GEN	
parosahassa	Parosahassa	Ba-lô-sa-ha-sa	GEN	
pesala	Pesalā	Bê-sa-la	GEN	
phagguna	Phagguna	Pha-gu-na	GEN	
piyankara	Piyaṅkara	Bi-dang-ca-la	GEN	
potaliya	POTALIYA	Bô-đa-li-da	GEN	
punabbasu	Punabbasu	Bu-na-ba-su	GEN	
rasiya	Rāsiya	La-si-da	GEN	
rohitassa	Rohitassa	Lô-hi-đa-sa	GEN	
saccaka	SACCAKA	Sa-xa-ca	GEN	
sajjha	Sajjha	Sac-ha	GEN	
salala	Salaḷā	Sa-la-la	GEN	
samaka	Sāmaka	Sa-ma-ca	GEN	
samuga	Sāmuga	Sa-mu-ga	GEN	
sandaka	SANDAKA	San-đa-ca	GEN	
sankava	Saṅkavā	Sang-ca-ba	GEN	
sanu	Sānu	Sa-nu	GEN	
sarabha	Sarabha	Sa-la-ba	GEN	
sedaka	Sedaka	Sê-đa-ca	GEN	
seri	Serī	Sê-li	GEN	
singi	Siṅgī	Sing-gi	GEN	
sisupacala	Sīsupacālā	Si-su-ba-xa-la	GEN	
siva	Siva	Si-ba	GEN	
sonakayana	Soṇakāyana	Sô-na-ca-da-na	GEN	
sundarika	Sundarika	Sun-đa-li-ca	GEN	
sunetta	Sunetta	Su-nê-đa	GEN	
suradha	Surādha	Su-la-đa	GEN	
suriya	Sūriya	Su-li-da	GEN	
sutanu	Sutanu	Su-đa-nu	GEN	
sutava	Sutavā	Su-đa-ba	GEN	
talaputa	Tālapuṭa	Đa-la-bu-tha	GEN	
tikanna	Tikaṇṇa	Đi-ca-na	GEN	
timbaruka	Timbaruka	Đim-ba-lu-ca	GEN	
turu	Turū	Đu-lu	GEN	
udena	Udena	U-đê-na	GEN	
uggaha	Uggaha	U-ga-ha	GEN	
ujjaya	Ujjaya	U-xa-da	GEN	
upacala	Upacālā	U-ba-xa-la	GEN	
upaka	Upaka	U-ba-ca	GEN	
uttiya	Uttiya	U-đi-da	GEN	
vahana	Vāhana	Ba-ha-na	GEN	
vajira	Vajirā	Ba-xi-la	GEN	
vajjiputta	Vajjiputta	Ba-xi-bu-đa	GEN	
vakkali	Vakkali	Ba-ca-li	GEN	
vasudatta	Vāsudatta	Ba-su-đa-đa	GEN	
velama	Velāma	Bê-la-ma	GEN	
venagapura	Venāgapura	Bê-na-ga-bu-la	GEN	
vendu	Veṇḍu	Bên-đu	GEN	
vepacitti	Vepacitti	Bê-ba-xi-đi	GEN	
verahaccani	Verahaccāni	Bê-la-ha-xa-ni	GEN	
verambha	Verambhā	Bê-lam-ba	GEN	
verocana	Verocana	Bê-lô-xa-na	GEN	
vijaya	Vijayā	Bi-xa-da	GEN	
vina	Vīṇā	Bi-na	GEN	
yamaka	Yamaka	Da-ma-ca	GEN	
ambavana	Ambavana	Vườn Xoài	repo:kinh-tieng-viet-suu-tam	TERM
assapura	Assapura	Xóm Ngựa	repo:kinh-trung-bo-tron-bo	TERM
beluvagamaka	Beluvagāmaka	Ấp Trúc Lâm	repo:kinh-trung-bo-tron-bo	TERM
devavana	Devavana	Chư Thiên	repo:kinh-trung-bo-tron-bo	TERM
nandana	Nandana	Hoan Lạc Viên	repo:kinh-tieu-bo-tuyen-tap	TERM
jantugama	Jantugāma	Xà-đấu	tuvienquangduc.com.au	TERM
subhagavana	Subhagavana	Hạnh Phúc Lâm	budsas.org	TERM
indasala	Indasāla	Nhơn-đà-sa-la	budsas.org	TERM
ujjeni	Ujjenī	Ưu Thiền Ni	nigioikhatsi.net	TERM
lumbini	Lumbinī	Lâm-tỳ-ni	vi.wikipedia.org	TERM
gandhara	Gandhāra	Cần-đà-la	vi.wikipedia.org	TERM
ambasanda	Ambasaṇḍa	Am-bà-la	budsas.org	TERM
hatthigama	Hatthigāma	Hát-thi	suttacentral.net	TERM
accutagama	Accutagāma	A-xu-đa-ga-ma		GEN
amaragiri	Amaragiri	A-ma-la-gi-li		GEN
ambara	Ambara	Am-ba-la		GEN
ambaravati	Ambaravatī	Am-ba-la-ba-đi		GEN
andhavana	Andhavana	An-đa-ba-na		GEN
anjana	Añjana	Anh-xa-na		GEN
anjanavana	Añjanavana	Anh-xa-na-ba-na		GEN
angarama	Aṅgārāma	Ang-ga-la-ma		GEN
arunarama	Aruṇārāma	A-lu-na-la-ma		GEN
assarama	Assārāma	A-sa-la-ma		GEN
badarikarama	Badarikārāma	Ba-đa-li-ca-la-ma		GEN
baliharana	Baliharaṇa	Ba-li-ha-la-na		GEN
bhaddiya	Bhaddiya	Ba-đi-da		GEN
bhagga	Bhaggā	Ba-ga		GEN
brahmavaddhana	Brahmavaḍḍhana	Ba-ma-bat-ha-na		GEN
bahuka	Bāhukā	Ba-hu-ca		GEN
bahumati	Bāhumati	Ba-hu-ma-đi		GEN
balakalonakara	Bālakaloṇakāra	Ba-la-ca-lô-na-ca-la		GEN
balakalonakaragama	Bālakaloṇakāragāma	Ba-la-ca-lô-na-ca-la-ga-ma		GEN
candarama	Candārāma	Xan-đa-la-ma		GEN
cittalata	Cittalatā	Xit-ta-la-đa		GEN
cundatthila	Cundaṭṭhila	Xun-đa-thi-la		GEN
calika	Cālikā	Xa-li-ca		GEN
dandaki	Daṇḍakī	Đan-đa-ci		GEN
devakuta	Devakūṭa	Đê-ba-cu-tha		GEN
dhammarama	Dhammārāma	Đa-ma-la-ma		GEN
dhananca	Dhanañca	Đa-nanh-xa		GEN
ekapundarika	Ekapuṇḍarīka	Ê-ca-bun-đa-li-ca		GEN
ekasala	Ekasālā	Ê-ca-sa-la		GEN
enikula	Eṇikūla	Ê-ni-cu-la		GEN
gajangala	Gajaṅgala	Ga-xang-ga-la		GEN
giriguha	Giriguhā	Gi-li-gu-ha		GEN
guhasela	Guhāsela	Gu-ha-sê-la		GEN
gunda	Gundā	Gun-đa		GEN
hatthini	Hatthinī	Hát-thi-ni		GEN
indakuta	Indakūṭa	In-đa-cu-tha		GEN
jatiya	Jātiya	Xa-đi-da		GEN
jatiyavana	Jātiyāvana	Xa-đi-da-ba-na		GEN
kalandagama	Kalandagāma	Ca-lan-đa-ga-ma		GEN
khemiyambavana	Khemiyambavana	Khê-mi-dam-ba-ba-na		GEN
khemarama	Khemārāma	Khê-ma-la-ma		GEN
kimikala	Kimikāḷā	Ci-mi-ca-la		GEN
kukuttha	Kukuṭṭhā	Cu-cu-tha		GEN
kundadhanavana	Kuṇḍadhānavana	Cun-đa-đa-na-ba-na		GEN
kundika	Kuṇḍikā	Cun-đi-ca		GEN
kuraraghara	Kuraraghara	Cu-la-la-gha-la		GEN
latthivana	Laṭṭhivana	La-thi-ba-na		GEN
mahisavatthu	Mahisavatthu	Ma-hi-sa-bat-hu		GEN
mandakini	Mandākinī	Man-đa-ci-ni		GEN
matanga	Mātaṅga	Ma-đang-ga		GEN
medha	Medhā	Mê-đa		GEN
medalupa	Medāḷupa	Mê-đa-lu-ba		GEN
nagaraka	Nagaraka	Na-ga-la-ca		GEN
nandarama	Nandārāma	Nan-đa-la-ma		GEN
naradakuta	Nāradakūṭa	Na-la-đa-cu-tha		GEN
nalakara	Naḷakāra	Na-la-ca-la		GEN
nalaka	Nālaka	Na-la-ca		GEN
papata	Papāta	Ba-ba-đa		GEN
payaga	Payāga	Ba-da-ga		GEN
pancasala	Pañcasālā	Banh-xa-sa-la		GEN
pilakkhaguha	Pilakkhaguhā	Bi-lac-ha-gu-ha		GEN
pippaliguha	Pippaliguhā	Bi-ba-li-gu-ha		GEN
pipphali	Pipphali	Bip-ha-li		GEN
pipphalivana	Pipphalivana	Bip-ha-li-ba-na		GEN
